機関コード,コード連番,既存の識別コード,機関名,無効化フラグ,有効開始日時,有効終了日時,バージョン情報
"0030099321301700","2","30099321301700","試験用ツール１３","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099321301700","3","30099321301700","試験用ツール１３","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099321401700","1","30099321401700","試験用ツール１４","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099321401700","2","30099321401700","試験用ツール１４","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099321401700","3","30099321401700","試験用ツール１４","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099321501700","1","30099321501700","試験用ツール１５","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099321501700","2","30099321501700","試験用ツール１５","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099321501700","3","30099321501700","試験用ツール１５","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099321601700","1","30099321601700","試験用ツール１６","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099321601700","2","30099321601700","試験用ツール１６","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099321601700","3","30099321601700","試験用ツール１６","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099321701700","1","30099321701700","試験用ツール１７","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099321701700","2","30099321701700","試験用ツール１７","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099321701700","3","30099321701700","試験用ツール１７","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099321801700","1","30099321801700","試験用ツール１８","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099321801700","2","30099321801700","試験用ツール１８","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099321801700","3","30099321801700","試験用ツール１８","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099321901700","1","30099321901700","試験用ツール１９","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099321901700","2","30099321901700","試験用ツール１９","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099321901700","3","30099321901700","試験用ツール１９","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099322001700","1","30099322001700","試験用ツール２０","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099322001700","2","30099322001700","試験用ツール２０","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099322001700","3","30099322001700","試験用ツール２０","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099322101700","1","30099322101700","試験用ツール２１","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099322101700","2","30099322101700","試験用ツール２１","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099322101700","3","30099322101700","試験用ツール２１","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099322201700","1","30099322201700","試験用ツール２２","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099322201700","2","30099322201700","試験用ツール２２","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099322201700","3","30099322201700","試験用ツール２２","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099322301700","1","30099322301700","試験用ツール２３","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099322301700","2","30099322301700","試験用ツール２３","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099322301700","3","30099322301700","試験用ツール２３","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099322401700","1","30099322401700","試験用ツール２４","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099322401700","2","30099322401700","試験用ツール２４","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099322401700","3","30099322401700","試験用ツール２４","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099322501700","1","30099322501700","試験用ツール２５","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099322501700","2","30099322501700","試験用ツール２５","0","2017/10/30 00:00","2019/06/16 05:44","0006"
"0030099322601700","1","30099322601700","試験用ツール２６","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099322601700","2","30099322601700","試験用ツール２６","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099322601700","3","30099322601700","試験用ツール２６","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099322701700","1","30099322701700","試験用ツール２７","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099322701700","2","30099322701700","試験用ツール２７","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099322701700","3","30099322701700","試験用ツール２７","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099322801700","1","30099322801700","試験用ツール２８","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099322801700","2","30099322801700","試験用ツール２８","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099322801700","3","30099322801700","試験用ツール２８","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099322901700","1","30099322901700","試験用ツール２９","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099322901700","2","30099322901700","試験用ツール２９","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099322901700","3","30099322901700","試験用ツール２９","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099323001700","1","30099323001700","試験用ツール３０","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099323001700","2","30099323001700","試験用ツール３０","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099323001700","3","30099323001700","試験用ツール３０","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099323101700","1","30099323101700","試験用ツール３１","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099323101700","2","30099323101700","試験用ツール３１","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099323101700","3","30099323101700","試験用ツール３１","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099323201700","1","30099323201700","試験用ツール３２","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099323201700","2","30099323201700","試験用ツール３２","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099323201700","3","30099323201700","試験用ツール３２","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099323301700","1","30099323301700","試験用ツール３３","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099323301700","2","30099323301700","試験用ツール３３","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099323301700","3","30099323301700","試験用ツール３３","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099323401700","1","30099323401700","試験用ツール３４","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099323401700","2","30099323401700","試験用ツール３４","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099323401700","3","30099323401700","試験用ツール３４","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099323501700","1","30099323501700","試験用ツール３５","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099323501700","2","30099323501700","試験用ツール３５","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099323501700","3","30099323501700","試験用ツール３５","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099323601700","1","30099323601700","試験用ツール３６","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099323601700","2","30099323601700","試験用ツール３６","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099323601700","3","30099323601700","試験用ツール３６","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099323701700","1","30099323701700","試験用ツール３７","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099323701700","2","30099323701700","試験用ツール３７","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099323701700","3","30099323701700","試験用ツール３７","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099323801700","1","30099323801700","試験用ツール３８","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099323801700","2","30099323801700","試験用ツール３８","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099323801700","3","30099323801700","試験用ツール３８","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099323901700","1","30099323901700","試験用ツール３９","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099323901700","2","30099323901700","試験用ツール３９","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099323901700","3","30099323901700","試験用ツール３９","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099324001700","1","30099324001700","試験用ツール４０","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099324001700","2","30099324001700","試験用ツール４０","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099324001700","3","30099324001700","試験用ツール４０","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099324101700","1","30099324101700","試験用ツール４１","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099324101700","2","30099324101700","試験用ツール４１","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099324101700","3","30099324101700","試験用ツール４１","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099324201700","1","30099324201700","試験用ツール４２","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099324201700","2","30099324201700","試験用ツール４２","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099324201700","3","30099324201700","試験用ツール４２","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099324301700","1","30099324301700","試験用ツール４３","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099324301700","2","30099324301700","試験用ツール４３","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099324301700","3","30099324301700","試験用ツール４３","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099324401700","1","30099324401700","試験用ツール４４","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099324401700","2","30099324401700","試験用ツール４４","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099324401700","3","30099324401700","試験用ツール４４","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099324501700","1","30099324501700","試験用ツール４５","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099324501700","2","30099324501700","試験用ツール４５","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099324501700","3","30099324501700","試験用ツール４５","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099324601700","1","30099324601700","試験用ツール４６","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099324601700","2","30099324601700","試験用ツール４６","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099324601700","3","30099324601700","試験用ツール４６","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099324701700","1","30099324701700","試験用ツール４７","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099324701700","2","30099324701700","試験用ツール４７","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099324701700","3","30099324701700","試験用ツール４７","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099324801700","1","30099324801700","試験用ツール４８","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099324801700","2","30099324801700","試験用ツール４８","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099324801700","3","30099324801700","試験用ツール４８","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099324901700","1","30099324901700","試験用ツール４９","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099324901700","2","30099324901700","試験用ツール４９","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099324901700","3","30099324901700","試験用ツール４９","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099325001700","1","30099325001700","試験用ツール５０","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099325001700","2","30099325001700","試験用ツール５０","0","2017/10/30 00:00","2019/06/16 05:44","0006"
"0119980000001700","1","19980000001700","都道府県センター","0","2009/01/01 00:00","9999/12/31 23:59","0010"
"0210480000001700","1","10480000001700","地方職員共済組合","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0210480000101700","1","10480000101700","地方職員共済組合団体共済部","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0210480000201700","1","10480000201700","公立学校共済組合","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0210480000301700","1","10480000301700","警察共済組合","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0210480000401700","1","10480000401700","東京都職員共済組合","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0210480000501700","1","10480000501700","全国市町村職員共済組合連合会","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0210680000001700","1","10680000001700","地方公務員災害補償基金","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220001000601700","1","20001000601700","北海道","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220002000101700","1","20002000101700","青森県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220003000701700","1","20003000701700","岩手県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220004000201700","1","20004000201700","宮城県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220005000801700","1","20005000801700","秋田県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220006000301700","1","20006000301700","山形県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220007000901700","1","20007000901700","福島県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220008000401700","1","20008000401700","茨城県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220009000001700","1","20009000001700","栃木県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220010000501700","1","20010000501700","群馬県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220011000101700","1","20011000101700","埼玉県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220012000601700","1","20012000601700","千葉県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220013000101700","1","20013000101700","東京都","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220014000701700","1","20014000701700","神奈川県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220015000201700","1","20015000201700","新潟県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220016000801700","1","20016000801700","富山県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220017000301700","1","20017000301700","石川県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220018000901700","1","20018000901700","福井県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220019000401700","1","20019000401700","山梨県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220020000001700","1","20020000001700","長野県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220021000501700","1","20021000501700","岐阜県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220022000101700","1","20022000101700","静岡県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220023000601700","1","20023000601700","愛知県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220024000101700","1","20024000101700","三重県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220025000701700","1","20025000701700","滋賀県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220026000201700","1","20026000201700","京都府","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220027000801700","1","20027000801700","大阪府","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220028000301700","1","20028000301700","兵庫県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220029000901700","1","20029000901700","奈良県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220030000401700","1","20030000401700","和歌山県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220031000001700","1","20031000001700","鳥取県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220032000501700","1","20032000501700","島根県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220033000101700","1","20033000101700","岡山県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220034000601700","1","20034000601700","広島県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220035000101700","1","20035000101700","山口県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220036000701700","1","20036000701700","徳島県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220037000201700","1","20037000201700","香川県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220038000801700","1","20038000801700","愛媛県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220039000301700","1","20039000301700","高知県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220040000901700","1","20040000901700","福岡県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220041000401700","1","20041000401700","佐賀県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220042000001700","1","20042000001700","長崎県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220043000501700","1","20043000501700","熊本県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220044000101700","1","20044000101700","大分県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220045000601700","1","20045000601700","宮崎県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220046000101700","1","20046000101700","鹿児島県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220047000701700","1","20047000701700","沖縄県","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101100201700","1","20101100201700","北海道札幌市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101202501700","1","20101202501700","北海道函館市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101203301700","1","20101203301700","北海道小樽市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101204101700","1","20101204101700","北海道旭川市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101205001700","1","20101205001700","北海道室蘭市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101206801700","1","20101206801700","北海道釧路市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101207601700","1","20101207601700","北海道帯広市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101208401700","1","20101208401700","北海道北見市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101209201700","1","20101209201700","北海道夕張市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101210601700","1","20101210601700","北海道岩見沢市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101211401700","1","20101211401700","北海道網走市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101212201700","1","20101212201700","北海道留萌市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101213101700","1","20101213101700","北海道苫小牧市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101214901700","1","20101214901700","北海道稚内市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101215701700","1","20101215701700","北海道美唄市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101216501700","1","20101216501700","北海道芦別市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101217301700","1","20101217301700","北海道江別市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101218101700","1","20101218101700","北海道赤平市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101219001700","1","20101219001700","北海道紋別市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101220301700","1","20101220301700","北海道士別市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101221101700","1","20101221101700","北海道名寄市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101222001700","1","20101222001700","北海道三笠市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101223801700","1","20101223801700","北海道根室市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101224601700","1","20101224601700","北海道千歳市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101225401700","1","20101225401700","北海道滝川市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101226201700","1","20101226201700","北海道砂川市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101227101700","1","20101227101700","北海道歌志内市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101228901700","1","20101228901700","北海道深川市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101229701700","1","20101229701700","北海道富良野市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101230101700","1","20101230101700","北海道登別市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101231901700","1","20101231901700","北海道恵庭市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101233501700","1","20101233501700","北海道伊達市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101234301700","1","20101234301700","北海道北広島市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101235101700","1","20101235101700","北海道石狩市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101236001700","1","20101236001700","北海道北斗市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101303001700","1","20101303001700","北海道当別町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101304801700","1","20101304801700","北海道新篠津村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101331501700","1","20101331501700","北海道松前町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101332301700","1","20101332301700","北海道福島町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101333101700","1","20101333101700","北海道知内町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101334001700","1","20101334001700","北海道木古内町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101337401700","1","20101337401700","北海道七飯町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101343901700","1","20101343901700","北海道鹿部町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101345501700","1","20101345501700","北海道森町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101346301700","1","20101346301700","北海道八雲町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101347101700","1","20101347101700","北海道長万部町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101361701700","1","20101361701700","北海道江差町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101362501700","1","20101362501700","北海道上ノ国町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101363301700","1","20101363301700","北海道厚沢部町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101364101700","1","20101364101700","北海道乙部町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101367601700","1","20101367601700","北海道奥尻町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101370601700","1","20101370601700","北海道今金町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101371401700","1","20101371401700","北海道せたな町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101391901700","1","20101391901700","北海道島牧村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101392701700","1","20101392701700","北海道寿都町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220101393501700","1","20101393501700","北海道黒松内町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
